episode,scenario_id,scenario_type,epsilon,episode_reward,episode_length,done_reason,success
127,2,maze,0.938459,-549.0,450,timeout,0
128,3,maze,0.93799,-125.2,224,goal2,1
129,2,maze,0.937521,-218.8,316,goal,1
130,0,maze,0.937052,-567.0,450,timeout,0
131,1,maze,0.936584,-535.0,450,timeout,0
132,4,maze,0.936115,-299.4,398,goal2,1
133,5,maze,0.935647,-14.5,135,goal2,1
134,2,maze,0.93518,-543.0,450,timeout,0
135,1,maze,0.934712,63.2,76,goal2,1
136,5,maze,0.934245,22.2,106,goal2,1
137,3,maze,0.933777,5.8,114,goal2,1
138,3,maze,0.933311,-531.0,450,timeout,0
139,5,maze,0.932844,38.3,99,goal2,1
140,3,maze,0.932377,-12.3,141,goal2,1
141,1,maze,0.931911,-573.0,450,timeout,0
142,2,maze,0.931445,-563.0,450,timeout,0
143,1,maze,0.93098,-529.0,450,timeout,0
144,1,maze,0.930514,-513.0,450,timeout,0
145,5,maze,0.930049,80.7,51,goal,1
146,4,maze,0.929584,-121.0,210,goal,1
147,4,maze,0.929119,-37.3,151,goal2,1
148,2,maze,0.928655,12.3,119,goal2,1
149,5,maze,0.92819,-541.0,450,timeout,0
150,4,maze,0.927726,-411.0,450,timeout,0
151,3,maze,0.927262,-293.9,373,goal2,1
152,4,maze,0.926799,-95.0,250,goal,1
153,3,maze,0.926335,-42.8,176,goal,1
154,2,maze,0.925872,-553.0,450,timeout,0
155,1,maze,0.925409,-533.0,450,timeout,0
156,1,maze,0.924946,43.4,102,goal2,1
157,4,maze,0.924484,-569.0,450,timeout,0
158,3,maze,0.924022,-44.9,163,goal2,1
159,0,maze,0.92356,-545.0,450,timeout,0
160,6,maze,0.923098,-449.0,450,timeout,0
161,0,maze,0.922636,-166.6,262,goal,1
162,6,maze,0.922175,4.5,125,goal2,1
163,0,maze,0.921714,-601.0,450,timeout,0
164,1,maze,0.921253,-268.1,347,goal2,1
165,5,maze,0.920792,108.9,37,goal2,1
166,1,maze,0.920332,-525.0,450,timeout,0
167,6,maze,0.919872,-527.0,450,timeout,0
168,5,maze,0.919412,-60.8,156,goal2,1
169,3,maze,0.918952,-547.0,450,timeout,0
170,4,maze,0.918493,-53.9,173,goal2,1
171,0,maze,0.918034,-541.0,450,timeout,0
172,3,maze,0.917574,-551.0,450,timeout,0
173,3,maze,0.917116,-9.7,139,goal2,1
174,4,maze,0.916657,-83.7,239,goal,1
175,3,maze,0.916199,71.8,74,goal2,1
176,4,maze,0.915741,-248.8,396,goal2,1
177,2,maze,0.915283,-98.5,215,goal,1
178,4,maze,0.914825,-173.7,279,goal2,1
179,6,maze,0.914368,-555.0,450,timeout,0
180,0,maze,0.913911,-467.0,450,timeout,0
181,5,maze,0.913454,64.9,77,goal2,1
182,5,maze,0.912997,-333.5,425,goal,1
183,0,maze,0.91254,-545.0,450,timeout,0
184,5,maze,0.912084,76.5,65,goal2,1
185,4,maze,0.911628,-229.5,365,goal,1
186,6,maze,0.911172,-272.7,369,goal2,1
187,2,maze,0.910717,61.5,75,goal2,1
188,6,maze,0.910261,-125.7,239,goal2,1
189,5,maze,0.909806,-567.0,450,timeout,0
190,2,maze,0.909351,76.2,66,goal2,1
191,0,maze,0.908897,-525.0,450,timeout,0
192,2,maze,0.908442,-65.1,157,goal,1
193,3,maze,0.907988,-43.0,170,goal2,1
194,1,maze,0.907534,-288.7,349,goal2,1
195,3,maze,0.90708,32.6,98,goal2,1
196,0,maze,0.906627,-226.7,309,goal,1
197,5,maze,0.906173,23.0,130,goal,1
198,5,maze,0.90572,-15.5,145,goal2,1
199,2,maze,0.905267,-11.1,137,goal,1
200,4,maze,0.904815,-169.8,306,goal2,1
201,6,maze,0.904362,-32.8,156,goal,1
202,1,maze,0.90391,-339.1,417,goal2,1
203,4,maze,0.903458,22.7,111,goal,1
204,0,maze,0.903007,-535.0,450,timeout,0
205,6,maze,0.902555,-307.1,377,goal,1
206,5,maze,0.902104,-563.0,450,timeout,0
207,2,maze,0.901653,-207.3,291,goal,1
208,6,maze,0.901202,-51.3,171,goal2,1
209,5,maze,0.900751,89.4,42,goal2,1
210,4,maze,0.900301,-206.8,336,goal2,1
211,4,maze,0.899851,15.0,130,goal,1
212,1,maze,0.899401,-316.1,387,goal,1
213,1,maze,0.898951,-19.3,151,goal2,1
214,2,maze,0.898502,-291.0,390,goal2,1
215,6,maze,0.898052,-437.0,450,timeout,0
216,1,maze,0.897603,-224.0,300,goal,1
217,4,maze,0.897155,-495.0,450,timeout,0
218,6,maze,0.896706,39.7,81,goal2,1
219,4,maze,0.896258,-134.0,300,goal2,1
220,0,maze,0.895809,-81.6,212,goal,1
221,4,maze,0.895362,-457.0,450,timeout,0
222,2,maze,0.894914,-91.0,230,goal2,1
223,3,maze,0.894466,-91.9,213,goal2,1
224,0,maze,0.894019,82.4,72,goal2,1
225,0,maze,0.893572,-555.0,450,timeout,0
226,2,maze,0.893125,-61.9,173,goal,1
227,6,maze,0.892679,-547.0,450,timeout,0
228,6,maze,0.892233,-110.2,254,goal2,1
229,2,maze,0.891786,-65.9,173,goal,1
230,1,maze,0.891341,-148.0,260,goal,1
231,0,maze,0.890895,34.8,104,goal,1
232,1,maze,0.890449,5.4,142,goal2,1
233,4,maze,0.890004,-85.7,199,goal2,1
234,0,maze,0.889559,-103.2,244,goal,1
235,0,maze,0.889114,-254.9,343,goal,1
236,5,maze,0.88867,-136.1,267,goal2,1
237,3,maze,0.888225,-69.4,198,goal2,1
238,6,maze,0.887781,-455.0,450,timeout,0
239,0,maze,0.887337,79.5,75,goal,1
240,6,maze,0.886894,25.5,95,goal2,1
241,4,maze,0.88645,2.2,146,goal2,1
242,6,maze,0.886007,-190.8,316,goal2,1
243,1,maze,0.885564,55.3,89,goal,1
244,1,maze,0.885121,-39.6,172,goal,1
245,5,maze,0.884679,-139.8,246,goal2,1
246,3,maze,0.884236,17.3,109,goal2,1
247,4,maze,0.883794,-187.5,365,goal2,1
248,1,maze,0.883352,-545.0,450,timeout,0
249,2,maze,0.882911,-34.8,156,goal,1
250,4,maze,0.882469,-491.0,450,timeout,0
251,6,maze,0.882028,-429.0,450,timeout,0
252,4,maze,0.881587,-503.0,450,timeout,0
253,3,maze,0.881146,-545.0,450,timeout,0
254,1,maze,0.880706,-218.5,335,goal,1
255,4,maze,0.880265,-45.1,157,goal2,1
256,6,maze,0.879825,-319.8,406,goal2,1
257,5,maze,0.879385,115.8,34,goal2,1
258,5,maze,0.878946,-69.6,172,goal2,1
259,1,maze,0.878506,-499.0,450,timeout,0
260,5,maze,0.878067,-519.0,450,timeout,0
261,2,maze,0.877628,-89.4,218,goal,1
262,3,maze,0.877189,44.0,80,goal,1
263,5,maze,0.87675,75.3,69,goal,1
264,5,maze,0.876312,-567.0,450,timeout,0
265,2,maze,0.875874,-111.1,237,goal2,1
266,3,maze,0.875436,69.7,61,goal2,1
267,4,maze,0.874998,-177.8,326,goal,1
268,3,maze,0.874561,-219.0,330,goal2,1
269,0,maze,0.874123,-112.8,236,goal,1
270,1,maze,0.873686,-344.2,394,goal2,1
271,1,maze,0.87325,60.9,77,goal,1
272,0,maze,0.872813,-154.4,268,goal,1
273,2,maze,0.872377,93.2,56,goal2,1
274,0,maze,0.87194,25.4,142,goal,1
275,4,maze,0.871504,44.8,124,goal,1
276,4,maze,0.871069,-481.0,450,timeout,0
277,1,maze,0.870633,-535.0,450,timeout,0
278,4,maze,0.870198,47.2,96,goal2,1
279,1,maze,0.869763,-243.5,345,goal,1
280,0,maze,0.869328,-4.3,141,goal,1
281,0,maze,0.868893,-539.0,450,timeout,0
282,5,maze,0.868459,110.0,40,goal2,1
283,5,maze,0.868024,-284.6,342,goal,1
284,0,maze,0.86759,27.6,108,goal,1
285,1,maze,0.867157,-167.5,265,goal2,1
286,0,maze,0.866723,-224.8,316,goal,1
287,0,maze,0.86629,-231.1,317,goal,1
288,6,maze,0.865857,-72.7,269,goal2,1
289,2,maze,0.865424,-517.0,450,timeout,0
290,0,maze,0.864991,51.9,107,goal,1
291,4,maze,0.864558,-210.7,329,goal2,1
292,1,maze,0.864126,58.7,71,goal2,1
293,2,maze,0.863694,48.8,84,goal2,1
294,5,maze,0.863262,91.5,55,goal,1
295,3,maze,0.862831,-32.5,195,goal,1
296,1,maze,0.862399,-63.6,212,goal2,1
297,4,maze,0.861968,-41.6,152,goal2,1
298,1,maze,0.861537,-218.9,323,goal,1
299,5,maze,0.861106,13.3,129,goal2,1
300,4,maze,0.860676,-46.6,222,goal,1
