algo,episodes,success_rate,avg_reward,avg_length,timeout_rate,roc_auc,best_thr_reward,precision_at_best_thr,recall_at_best_thr,f1_at_best_thr,tn,fp,fn,tp
Q-learning,20000.0,0.9693,119.256635,53.92805,0.0307,0.9979368653492849,-142.3,0.9997928105252253,0.995666976168369,0.9977256280368034,610.0,4.0,84.0,19302.0
SARSA,20000.0,0.9558,112.80295,61.2665,0.0442,0.9970704280794842,-136.7,0.9998421384971585,0.9939840970914418,0.9969045120671564,881.0,3.0,115.0,19001.0
